Date,Open,High,Low,Close,Adj Close,Volume
2011-09-09,33.560001,33.560001,33.560001,33.560001,27.437431,0
2011-09-12,33.790001,33.790001,33.790001,33.790001,27.625465,0
2011-09-13,34.150002,34.150002,34.150002,34.150002,27.919798,0
2011-09-14,34.639999,34.639999,34.639999,34.639999,28.320398,0
2011-09-15,35.209999,35.209999,35.209999,35.209999,28.786411,0
2011-09-16,35.380001,35.380001,35.380001,35.380001,28.925402,0
2011-09-19,35.009998,35.009998,35.009998,35.009998,28.622898,0
2011-09-20,34.869999,34.869999,34.869999,34.869999,28.508440,0
2011-09-21,33.810001,33.810001,33.810001,33.810001,27.641827,0
2011-09-22,32.709999,32.709999,32.709999,32.709999,26.742498,0
2011-09-23,32.950001,32.950001,32.950001,32.950001,26.938719,0
2011-09-26,33.689999,33.689999,33.689999,33.689999,27.543709,0
2011-09-27,34.099998,34.099998,34.099998,34.099998,27.878918,0
2011-09-28,33.310001,33.310001,33.310001,33.310001,27.233038,0
2011-09-29,33.580002,33.580002,33.580002,33.580002,27.453785,0
2011-09-30,32.730000,32.730000,32.730000,32.730000,26.758852,0
2011-10-03,31.670000,31.670000,31.670000,31.670000,25.892239,0
2011-10-04,32.529999,32.529999,32.529999,32.529999,26.595339,0
2011-10-05,33.130001,33.130001,33.130001,33.130001,27.085878,0
2011-10-06,33.790001,33.790001,33.790001,33.790001,27.625465,0
2011-10-07,33.439999,33.439999,33.439999,33.439999,27.339321,0
2011-10-10,34.610001,34.610001,34.610001,34.610001,28.295872,0
2011-10-11,34.639999,34.639999,34.639999,34.639999,28.320398,0
2011-10-12,35.009998,35.009998,35.009998,35.009998,28.622898,0
2011-10-13,34.939999,34.939999,34.939999,34.939999,28.565672,0
2011-10-14,35.549999,35.549999,35.549999,35.549999,29.064386,0
2011-10-17,34.810001,34.810001,34.810001,34.810001,28.459385,0
2011-10-18,35.560001,35.560001,35.560001,35.560001,29.072565,0
2011-10-19,35.080002,35.080002,35.080002,35.080002,28.680128,0
2011-10-20,35.230000,35.230000,35.230000,35.230000,28.802763,0
2011-10-21,35.910000,35.910000,35.910000,35.910000,29.358713,0
2011-10-24,36.490002,36.490002,36.490002,36.490002,29.832893,0
2011-10-25,35.720001,35.720001,35.720001,35.720001,29.203371,0
2011-10-26,36.130001,36.130001,36.130001,36.130001,29.538574,0
2011-10-27,37.439999,37.439999,37.439999,37.439999,30.609577,0
2011-10-28,37.430000,37.430000,37.430000,37.430000,30.601402,0
2011-10-31,36.500000,36.500000,36.500000,36.500000,29.841070,0
2011-11-01,35.459999,35.459999,35.459999,35.459999,28.990801,0
2011-11-02,36.070000,36.070000,36.070000,36.070000,29.489510,0
2011-11-03,36.779999,36.779999,36.779999,36.779999,30.069983,0
2011-11-04,36.580002,36.580002,36.580002,36.580002,29.906477,0
2011-11-07,36.759998,36.759998,36.759998,36.759998,30.053629,0
2011-11-08,37.200001,37.200001,37.200001,37.200001,30.413359,0
2011-11-09,35.790001,35.790001,35.790001,35.790001,29.260597,0
2011-11-10,36.080002,36.080002,36.080002,36.080002,29.497692,0
2011-11-11,36.810001,36.810001,36.810001,36.810001,30.094513,0
2011-11-14,36.450001,36.450001,36.450001,36.450001,29.800200,0
2011-11-15,36.669998,36.669998,36.669998,36.669998,29.980057,0
2011-11-16,36.070000,36.070000,36.070000,36.070000,29.489510,0
2011-11-17,35.470001,35.470001,35.470001,35.470001,28.998981,0
2011-11-18,35.450001,35.450001,35.450001,35.450001,28.982630,0
2011-11-21,34.790001,34.790001,34.790001,34.790001,28.443037,0
2011-11-22,34.630001,34.630001,34.630001,34.630001,28.312223,0
2011-11-23,33.830002,33.830002,33.830002,33.830002,27.658176,0
2011-11-25,33.720001,33.720001,33.720001,33.720001,27.568247,0
2011-11-28,34.770000,34.770000,34.770000,34.770000,28.426682,0
2011-11-29,34.840000,34.840000,34.840000,34.840000,28.483912,0
2011-11-30,36.400002,36.400002,36.400002,36.400002,29.759310,0
2011-12-01,36.310001,36.310001,36.310001,36.310001,29.685728,0
2011-12-02,36.320000,36.320000,36.320000,36.320000,29.693911,0
2011-12-05,36.720001,36.720001,36.720001,36.720001,30.020935,0
2011-12-06,36.740002,36.740002,36.740002,36.740002,30.037285,0
2011-12-07,36.799999,36.799999,36.799999,36.799999,30.086340,0
2011-12-08,35.970001,35.970001,35.970001,35.970001,29.407761,0
2011-12-09,36.639999,36.639999,36.639999,36.639999,29.955534,0
2011-12-12,36.080002,36.080002,36.080002,36.080002,29.497692,0
2011-12-13,35.709999,35.709999,35.709999,35.709999,29.195189,0
2011-12-14,35.279999,35.279999,35.279999,35.279999,28.843636,0
2011-12-15,35.430000,35.430000,35.430000,35.430000,28.966274,0
2011-12-16,35.029999,35.029999,35.029999,35.029999,29.099192,0
2011-12-19,34.580002,34.580002,34.580002,34.580002,28.725374,0
2011-12-20,35.660000,35.660000,35.660000,35.660000,29.622524,0
2011-12-21,35.730000,35.730000,35.730000,35.730000,29.680679,0
2011-12-22,36.040001,36.040001,36.040001,36.040001,29.938189,0
