,diversity,environment,culture,worklife,pay,growth,leadership,personaldevelopment
University of Virginia,0.8677750611246944,0.7109063595393089,0.4898230232180549,0.8437083993660855,0.6992513368983957,0.5727595481441635,0.10893799877225292,0.7989694847423712
National Institutes of Health,0.4338875305623472,0.5331797696544818,0.5762623802565352,1.1249445324881142,0.5993582887700535,1.336438945669715,0.3268139963167587,1.5979389694847423
"The MathWorks, Inc.",0.4338875305623472,1.7772658988482724,1.2677772365643774,1.7577258320126783,0.5494117647058824,1.050059171597633,0.9804419889502762,1.1540670335167584
"Udemy, Inc.",1.3016625916870415,1.9549924887330996,1.642347783731125,0.9140174326465927,0.5993582887700535,2.291038192576654,1.9608839779005525,2.3969084542271135
"Slack Technologies, Inc.",2.603325183374083,1.3329494241362043,1.4694690696541646,0.8437083993660855,0.9989304812834224,1.4318988703604087,1.9608839779005525,1.0652926463231616
Rivian Automotive LLC.,0.8677750611246944,1.5106760140210316,1.296590355577204,0.2109270998415214,0.4994652406417112,1.4318988703604087,2.1787599754450584,1.8642621310655327
Michigan State University,1.3016625916870415,0.7109063595393089,0.5474492612437084,0.6327812995245642,0.6992513368983957,0.5727595481441635,0.21787599754450584,0.7101950975487744
Zoom Video Communications Inc,0.8677750611246944,0.9774962443665498,1.5270953076798182,0.7030903328050713,1.3985026737967914,0.9545992469069392,2.0698219766728054,0.9765182591295648
Brown University,0.4338875305623472,0.7997696544817225,0.6627017372950155,1.054635499207607,0.7491978609625668,0.7636793975255514,0.0,1.0652926463231616
Two Sigma,0.4338875305623472,2.310445668502754,1.642347783731125,1.4061806656101425,1.5483422459893048,1.336438945669715,0.9804419889502762,2.3969084542271135
The University of Michigan,0.0,0.2665898848272409,0.2881311901282676,0.9140174326465927,0.4994652406417112,0.4772996234534696,0.3268139963167587,0.6214207103551775
Paylocity Corporation,1.7355501222493888,1.155222834251377,1.671160902743952,1.546798732171157,1.7980748663101604,2.100118343195266,2.8323879680785757,0.7101950975487744
Yale University,0.4338875305623472,0.4443164747120681,0.5186361422308816,0.4921632329635499,0.6992513368983957,0.7636793975255514,0.10893799877225292,1.4203901950975488
"Noblis, Inc.",0.0,0.5331797696544818,1.181337879525897,1.687416798732171,1.7481283422459892,1.4318988703604087,1.5251319828115408,0.9765182591295648
Purdue University,0.4338875305623472,0.7997696544817225,0.2593180711154408,0.9843264659270998,0.399572192513369,0.28637977407208176,0.0,0.6214207103551775
Southwest Airlines Co.,0.0,0.7109063595393089,0.950832927423283,1.2655625990491284,1.8979679144385027,0.8591393222162453,0.3268139963167587,0.3550975487743872
"athenahealth, Inc.",2.603325183374083,1.155222834251377,1.325403474590031,2.038961965134707,0.9989304812834224,2.0046584185045724,1.8519459791282995,1.0652926463231616
Zynga,0.4338875305623472,1.866129193790686,1.0948985224874168,0.5624722662440571,1.3985026737967914,0.9545992469069392,0.21787599754450584,0.8877438719359679
The Leland Stanford Junior University,0.0,0.5331797696544818,0.4898230232180549,0.6327812995245642,0.5494117647058824,1.145519096288327,0.10893799877225292,1.0652926463231616
Consumers Energy Company,0.8677750611246944,0.35545317976965446,0.8932066893976295,1.4764896988906497,1.8480213903743314,0.5727595481441635,0.5446899938612646,0.5326463231615808
"Etsy, Inc.",1.7355501222493888,2.2215823735603406,1.5559084266926448,0.7733993660855785,1.4484491978609626,1.240979020979021,1.7430079803560468,1.1540670335167584
"Patagonia, Inc.",0.0,1.0663595393089635,1.0948985224874168,0.5624722662440571,0.9989304812834224,0.0,0.3268139963167587,0.44387193596798397
Pactera,0.0,1.0663595393089635,0.8932066893976295,1.1952535657686212,0.29967914438502674,0.6682194728348575,0.8715039901780234,0.6214207103551775
NASA Jet Propulsion Laboratory,0.8677750611246944,2.043855783675513,1.1525247605130704,1.054635499207607,0.29967914438502674,1.240979020979021,0.9804419889502762,1.0652926463231616
"Excellus Health Plan, Inc.",1.3016625916870415,0.7997696544817225,0.8067673323591492,0.8437083993660855,1.198716577540107,0.8591393222162453,0.5446899938612646,0.44387193596798397
"Akamai Technologies, Inc.",1.3016625916870415,1.155222834251377,1.0948985224874168,1.4061806656101425,0.9489839572192513,0.3818396987627757,1.307255985267035,0.6214207103551775
"Delta Air Lines, Inc.",0.4338875305623472,0.6220430645968953,0.6050754992693619,0.4218541996830428,0.9489839572192513,0.3818396987627757,0.6536279926335175,0.3550975487743872
"Concur Technologies, Inc. ",1.7355501222493888,1.2440861291937906,1.5270953076798182,2.109270998415214,1.0488770053475935,1.8137385691231844,2.7234499693063228,1.0652926463231616
"Red Hat, Inc.",1.7355501222493888,0.6220430645968953,1.4118428316285112,1.4061806656101425,0.7491978609625668,1.145519096288327,1.6340699815837938,1.242841420710355
Netskope Inc.,2.169437652811736,0.9774962443665498,1.642347783731125,0.5624722662440571,0.34962566844919785,2.1955782678859603,3.4860159607120935,0.9765182591295648
The AES Corporation,1.7355501222493888,0.7109063595393089,1.1525247605130704,0.7030903328050713,1.0988235294117648,1.050059171597633,1.8519459791282995,0.8877438719359679
Cloud BigData Technologies Group,0.0,0.08886329494241361,0.46100990420522814,0.2109270998415214,0.2497326203208556,0.19091984938138784,0.3268139963167587,0.5326463231615808
The University of Texas at Austin,0.0,0.6220430645968953,0.5186361422308816,1.054635499207607,0.9489839572192513,0.28637977407208176,0.21787599754450584,0.7989694847423712
AppFolio,0.4338875305623472,1.6884026039058588,1.7576002597824323,1.1952535657686212,0.34962566844919785,1.240979020979021,1.8519459791282995,1.331615807903952
